# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code_4_model
# start_datetime = 2023-03-23 10:49:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 6000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4838282
# output
#   file = /root/data_analytics/samples/code_4-20230323104952_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.170718
# Diagonal elements of inverse mass matrix:
# 0.774787
-0.738256,0.999898,0.170718,2,3,0,0.738477,0.414438
-0.681545,0.90831,0.170718,2,5,0,0.933795,0.312794
-0.855349,0.999041,0.170718,3,9,0,0.85704,0.572854
-0.71346,0.874799,0.170718,3,8,1,1.01122,0.0906764
-0.805025,0.97793,0.170718,1,1,0,0.805075,0.0517486
-0.990551,0.780093,0.170718,1,1,0,1.16511,0.021142
-0.877206,0.312593,0.170718,2,4,1,2.54638,0.599399
-1.1019,0.856697,0.170718,2,7,1,1.33957,0.848718
-1.91819,0.887355,0.170718,3,9,1,3.03951,1.63258
-1.96612,0.999969,0.170718,1,3,0,1.98767,1.6762
-1.7077,0.999993,0.170718,2,5,0,2.00496,1.43894
-1.45507,0.909089,0.170718,3,11,1,1.74883,1.20062
-1.40722,0.999985,0.170718,1,3,0,1.48115,1.15451
-1.41307,0.999994,0.170718,1,1,0,1.41387,1.16017
-0.881162,0.90909,0.170718,3,11,1,1.42454,0.60414
-1.10697,0.856702,0.170718,2,7,1,1.34569,0.854013
-0.878283,0.874933,0.170718,3,8,1,1.35261,0.600692
-0.83956,0.999928,0.170718,1,3,0,0.910092,0.553264
-0.751139,0.999854,0.170718,3,9,0,0.899937,0.0705096
-0.712778,1,0.170718,1,1,0,0.743885,0.0911311
-0.709932,1,0.170718,2,3,0,0.717232,0.0930744
-0.709932,0,0.170718,0,1,1,2.04672,0.0930744
-0.983467,0.863329,0.170718,1,1,0,1.02628,0.021824
-0.983467,0,0.170718,0,1,1,1.83152,0.021824
-0.983467,0,0.170718,0,1,1,1.89479,0.021824
-0.697251,0.951775,0.170718,2,3,0,0.894216,0.102793
-0.697251,0.441402,0.170718,1,2,1,2.72494,0.102793
-0.987982,0.871771,0.170718,2,3,0,1.01742,0.0213865
-0.786204,0.973873,0.170718,3,7,0,0.997677,0.483708
-1.6231,0.996004,0.170718,3,11,0,1.75336,1.35997
-0.948526,0.899995,0.170718,3,10,1,1.75258,0.682391
-0.92122,1,0.170718,3,7,0,0.94885,0.651183
-0.760968,0.999781,0.170718,2,7,0,1.07088,0.448328
-0.682103,0.999793,0.170718,2,5,0,1.11254,0.314027
-0.662023,0.5,0.170718,1,2,1,1.22767,0.14942
-0.67033,0.998628,0.170718,2,7,0,0.702337,0.285704
-0.659165,0.999963,0.170718,4,15,0,0.67397,0.250366
-1.46658,0.855655,0.170718,3,8,1,2.3241,1.21166
-1.85669,0.623706,0.170718,4,15,0,3.32822,1.57638
-1.84554,1,0.170718,2,3,0,1.85678,1.56616
-1.83909,1,0.170718,2,3,0,1.84644,1.56024
-1.87898,0.999982,0.170718,2,3,0,1.87989,1.59679
-1.85271,1,0.170718,2,3,0,1.88252,1.57273
-2.72455,0.899838,0.170718,3,10,1,3.17938,2.35057
-3.09724,0.928526,0.170718,3,14,1,3.50639,2.67454
-3.11887,0.999993,0.170718,2,3,0,3.14295,2.69325
-1.36113,0.899937,0.170718,3,10,1,5.74582,1.10973
-0.935935,0.999502,0.170718,3,13,0,2.22938,0.668078
-1.21639,0.88817,0.170718,3,9,1,1.57459,0.966247
-0.983808,0.899987,0.170718,3,10,1,1.26781,0.721862
-1.99245,0.886839,0.170718,3,9,1,2.84533,1.7001
-1.94616,1,0.170718,2,3,0,1.99276,1.65806
-0.899478,0.899976,0.170718,3,10,1,2.41743,0.625855
-0.903807,0.999995,0.170718,2,3,0,0.904268,0.630936
-1.12126,0.888601,0.170718,3,9,1,1.17111,0.868902
-1.10631,0.999993,0.170718,3,7,0,1.13799,0.853328
-0.65645,0.75,0.170718,2,4,1,1.95717,0.165969
-0.664506,0.956232,0.170718,1,3,0,0.883265,0.268985
-0.907049,0.794454,0.170718,2,5,1,1.51156,0.634727
-1.49831,0.998516,0.170718,3,9,0,1.58904,1.242
-2.15859,0.856693,0.170718,2,7,1,3.88294,1.84989
-2.09819,0.999991,0.170718,1,3,0,2.19704,1.79562
-3.45071,0.999721,0.170718,3,11,0,4.1017,2.97887
-1.80151,0.899977,0.170718,3,10,1,5.5956,1.5257
-0.687296,0.875,0.170718,3,8,1,2.04869,0.112018
-0.663345,0.487529,0.170718,1,2,1,1.1602,0.265288
-0.687535,0.998884,0.170718,2,7,0,0.754262,0.325628
-1.55587,0.990766,0.170718,3,11,0,1.75259,1.29665
-1.62053,0.999935,0.170718,2,5,0,1.67342,1.35756
-1.3538,0.999921,0.170718,3,11,0,1.85793,1.10257
-1.35076,1,0.170718,1,1,0,1.35543,1.0996
-2.62413,0.99877,0.170718,3,15,0,2.93228,2.2626
-3.00938,0.999893,0.170718,2,7,0,3.12735,2.59849
-2.95825,0.999998,0.170718,1,3,0,3.03109,2.55414
