# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code_5_model
# start_datetime = 2023-03-23 10:50:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 6000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4838282
# output
#   file = /root/data_analytics/samples/code_5-20230323105056_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.66205
# Diagonal elements of inverse mass matrix:
# 1.16294
-1.35054,0.998751,0.66205,1,1,0,1.35735,0.650658
-1.25102,0.980362,0.66205,3,7,0,1.64432,0.960134
-1.41443,0.964657,0.66205,1,3,0,1.55859,0.570761
-1.25769,0.985127,0.66205,1,3,0,1.65079,1.11508
-1.26322,0.941927,0.66205,2,3,0,2.03779,0.861507
-1.33418,0.993229,0.66205,3,7,0,1.35067,1.41321
-1.3352,0.910332,0.66205,2,3,0,2.05911,0.674751
-1.33572,0.971147,0.66205,1,3,0,1.69983,1.4174
-2.23275,0.846167,0.66205,3,7,0,2.48798,0.205917
-2.36692,0.998614,0.66205,2,3,0,2.38303,0.180278
-2.20381,0.968536,0.66205,3,7,0,2.43179,0.212033
-3.23928,0.96365,0.66205,1,3,0,3.67498,0.0812543
-3.35978,0.998511,0.66205,1,1,0,3.39549,0.073195
-3.05013,1,0.66205,1,1,0,3.35607,0.095926
-2.45297,0.999916,0.66205,2,3,0,3.12553,0.16588
-3.19653,0.987086,0.66205,2,3,0,3.25489,0.0843412
-1.94469,0.792893,0.66205,1,3,0,3.93873,0.278921
-1.90979,1,0.66205,1,1,0,1.97878,0.290018
-1.86174,0.986521,0.66205,2,3,0,2.4338,0.306344
-1.25623,0.980573,0.66205,1,3,0,2.46982,0.903481
-1.37089,0.991449,0.66205,2,7,0,1.37095,1.50651
-1.41232,0.932141,0.66205,2,3,0,1.81955,1.59963
-2.65221,0.849325,0.66205,2,3,0,2.65229,3.32248
-2.65221,0.00327788,0.66205,1,1,0,5.73506,3.32248
-1.50084,1,0.66205,1,1,0,2.25032,1.7738
-1.2631,1,0.66205,3,7,0,1.48881,1.15182
-1.76014,0.828792,0.66205,1,3,0,2.73203,0.345579
-1.52094,0.999221,0.66205,2,3,0,1.80931,0.477448
-1.25832,0.99201,0.66205,1,3,0,1.68174,0.888996
-1.38408,0.977924,0.66205,2,3,0,1.46699,0.605397
-1.38221,0.990818,0.66205,3,7,0,1.58217,0.607703
-1.2549,0.988156,0.66205,1,3,0,1.55846,1.0912
-1.25251,0.963832,0.66205,3,7,0,1.55831,1.06467
-1.2567,0.990095,0.66205,3,7,0,1.33596,1.10712
-1.26146,0.942584,0.66205,2,3,0,2.03053,0.870616
